iteration,red_power,blue_power,cofm_ratio,win_side
1313,12.337571,4.388944,2.81,RED
1314,11.57589,4.8065753,2.41,RED
1315,11.236426,7.3196354,1.54,RED
1316,10.434284,5.238703,1.99,RED
1317,9.637096,8.164855,1.18,RED
1318,12.9183,8.497316,1.52,RED
1319,10.571632,5.288378,2.0,RED
1320,10.188452,6.9381013,1.47,RED
1321,6.3160706,7.0160813,0.9,BLUE
1322,7.139357,7.3565974,0.97,BLUE
1323,8.877164,7.5690203,1.17,RED
1324,7.0578494,4.7862554,1.47,RED
1325,9.801228,8.670479,1.13,RED
1326,10.095428,8.147629,1.24,RED
1327,6.69928,6.242089,1.07,BLUE
1328,8.461773,8.639985,0.98,BLUE
1329,10.271661,4.69201,2.19,RED
1330,6.638834,7.9554715,0.83,BLUE
1331,8.915272,5.963958,1.49,RED
1332,9.253185,8.698513,1.06,BLUE
1333,12.084886,7.4794235,1.62,RED
1334,12.117917,5.832335,2.08,RED
1335,9.2663765,7.043858,1.32,RED
1336,6.3004375,8.548388,0.74,BLUE
1337,6.408012,8.27853,0.77,BLUE
1338,7.230777,6.413671,1.13,RED
1339,11.3184595,6.5666842,1.72,RED
1340,11.777513,4.959997,2.37,RED
1341,6.522181,8.7647705,0.74,BLUE
1342,11.376416,4.903453,2.32,RED
1343,11.176454,5.3331275,2.1,RED
1344,11.927754,7.649611,1.56,RED
1345,11.607994,6.359762,1.83,RED
1346,6.642851,4.696775,1.41,RED
1347,9.127986,5.1415024,1.78,RED
1348,10.799595,5.31779,2.03,RED
1349,7.027212,6.889982,1.02,BLUE
1350,9.607521,7.465953,1.29,RED
1351,8.831309,8.276646,1.07,BLUE
1352,7.1020627,5.9785795,1.19,RED
1353,12.203055,8.064547,1.51,RED
1354,10.918916,5.0648527,2.16,RED
1355,8.924252,7.873454,1.13,RED
1356,8.592121,4.9238405,1.75,RED
1357,9.9034605,5.8048654,1.71,RED
1358,8.12652,5.105884,1.59,RED
1359,12.636439,7.8000917,1.62,RED
1360,8.47607,4.717126,1.8,RED
1361,6.7334065,8.3476,0.81,BLUE
1362,8.36162,5.260893,1.59,RED
1363,12.709768,6.761477,1.88,RED
1364,12.186223,4.573648,2.66,RED
1365,6.556351,6.5696697,1.0,BLUE
1366,9.259714,8.338475,1.11,RED
1367,11.541056,8.41095,1.37,RED
1368,7.8531904,9.057458,0.87,BLUE
1369,7.7788067,4.8112597,1.62,RED
1370,11.994269,8.591603,1.4,RED
1371,7.3692822,6.7554765,1.09,BLUE
1372,10.174619,6.287697,1.62,RED
1373,12.033682,6.64195,1.81,RED
1374,7.31077,5.124969,1.43,RED
1375,12.619663,6.229701,2.03,RED
1376,8.832607,8.114554,1.09,BLUE
1377,6.76288,6.11105,1.11,RED
1378,12.173891,5.0581174,2.41,RED
1379,7.52737,8.253189,0.91,BLUE
1380,7.912888,8.989647,0.88,BLUE
1381,8.564995,4.886311,1.75,RED
1382,6.680011,5.572981,1.2,RED
1383,11.29679,4.841045,2.33,RED
1384,11.17741,5.6001444,2.0,RED
1385,6.711495,7.9280615,0.85,BLUE
1386,6.6593876,5.5817704,1.19,RED
1387,9.32436,5.028736,1.85,RED
1388,10.002959,5.5182934,1.81,RED
1389,8.986371,4.944025,1.82,RED
1390,12.076806,5.4857664,2.2,RED
1391,12.180015,5.3758073,2.27,RED
1392,10.335037,5.951976,1.74,RED
1393,8.254717,8.911898,0.93,BLUE
1394,12.350878,5.570247,2.22,RED
1395,9.456521,6.524857,1.45,RED
1396,12.860299,6.740582,1.91,RED
1397,7.0768843,4.956602,1.43,RED
